<<<<<<< HEAD
[DEBUG] [2021-01-28 19:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0062f336592944e985fcb9fe05a7be3a, msgType : 19
[DEBUG] [2021-01-28 19:05:38] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 111, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-28 19:05:38] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 111, groupId: 1
[DEBUG] [2021-01-28 19:05:38] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 111, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-28 19:05:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 908e88bab4f542e5b5f33bffe0e00c45, msgType : 19
[DEBUG] [2021-01-28 19:05:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1cb09accbbb9407296d7871baf86109c, msgType : 19
[DEBUG] [2021-01-28 19:05:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9676d6576f444a7ab947c2c4b0ed4ffb, msgType : 19
[DEBUG] [2021-01-28 19:05:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1c7fb357646741438a993e0e8f01d7c2, msgType : 19
[DEBUG] [2021-01-28 19:05:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3a170d2ade0249ba8f570418f10a6ebb, msgType : 19
[DEBUG] [2021-01-28 19:05:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 44f0446075f3449cbba84c606029b635, msgType : 19
[DEBUG] [2021-01-28 19:05:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d1e65eff19c740fe94203a8db85a2e4a, msgType : 19
[DEBUG] [2021-01-28 19:05:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d37b7ab285914ddcb1102c4ffe176081, msgType : 19
[DEBUG] [2021-01-28 19:05:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : aec40e5752ca4c72ae10951a160d5897, msgType : 19
[DEBUG] [2021-01-28 19:05:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb1b95e525dd4a689408175ae8c7a410, msgType : 19
[DEBUG] [2021-01-28 19:05:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ebf685865071456a919c0e9be33d9532, msgType : 19
[DEBUG] [2021-01-28 19:05:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 288fbadd54d4456c85b3443fa9d0316a, msgType : 19
[DEBUG] [2021-01-28 19:05:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e3e9a64c8b594145a025f01901d9bb14, msgType : 19
[DEBUG] [2021-01-28 19:05:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ce7bf8397d7d4a8eac5469fb86e4a6df, msgType : 19
[DEBUG] [2021-01-28 19:05:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 334bcb8b954f4624ad8a070c1145408b, msgType : 19
[DEBUG] [2021-01-28 19:05:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 316c5d6059ee460e8b229ec44567c29a, msgType : 19
[DEBUG] [2021-01-28 19:05:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b9919fac1acb486696c2583420aa4a3a, msgType : 19
[DEBUG] [2021-01-28 19:05:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4b9bf155f40146a1ac7085338fe97118, msgType : 19
[DEBUG] [2021-01-28 19:05:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f9058ef9809d4b9e88a2755c62447b5c, msgType : 19
[DEBUG] [2021-01-28 19:05:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2f04c7ab07df483094d0948a15ffe1c3, msgType : 19
[INFO] [2021-01-28 19:05:48] ReceiptClient.loadReceiptAddr(74) |  load Receipt address from contract.properties, address is 0xe90a204c4f00dfda9ef1229055e036081401cc98
[DEBUG] [2021-01-28 19:05:48] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.4.0, supportedVersion:2.4.0
[DEBUG] [2021-01-28 19:05:48] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 19:05:48] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2c1a9f4ff54b4789a9435f34b0cbc005, msgType : 18
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 112, groupId: 1
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 112, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 112, groupId: 1
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 112, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 112, groupId: 1
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 112, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 112, groupId: 1
[DEBUG] [2021-01-28 19:05:49] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 112, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2c1a9f4ff54b4789a9435f34b0cbc005, msgType : 4096
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b13934dc7f884b9d8396104ff8fc8433, msgType : 19
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 445411ad47e942cab4e6fd2678e7240f, msgType : 19
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e5bfb59511604101a6d0b650e472c16d, msgType : 19
[DEBUG] [2021-01-28 19:05:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d04de6a7742f4c17b31c3d755f3c4146, msgType : 19
[DEBUG] [2021-01-28 19:05:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cf52d8f9c7e2421ebe1e739f3af945f1, msgType : 19
[DEBUG] [2021-01-28 19:05:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1b8c693985d14afcb3abb9a9382c51a2, msgType : 19
[DEBUG] [2021-01-28 19:05:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : afdc651a5e904655ad5cb30380f366b7, msgType : 19
[DEBUG] [2021-01-28 19:05:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 76dd6877f9e1446482e02bf7bdd7a17b, msgType : 19
[DEBUG] [2021-01-28 19:05:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ab02577a62f742b280161e2823ab2b78, msgType : 19
[DEBUG] [2021-01-28 19:05:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 786af81140ce413693db2d9943931546, msgType : 19
[DEBUG] [2021-01-28 19:05:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b84bc07a07db4442b13f66ac0ae77048, msgType : 19
[DEBUG] [2021-01-28 19:05:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7110a27b093d44d29bbba305585d198e, msgType : 19
[DEBUG] [2021-01-28 19:05:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 93ee3121d0e348dc928a0c5784ae54b9, msgType : 19
[DEBUG] [2021-01-28 19:05:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5553eab5ae01497abb29ac560c3295a9, msgType : 19
[DEBUG] [2021-01-28 19:05:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1149319cdd514b0a991ee91f17a9faa3, msgType : 19
[DEBUG] [2021-01-28 19:05:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 829bf595ffb54a21ab8acb1b8eb06c7f, msgType : 19
[DEBUG] [2021-01-28 19:05:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b0c574bd2204ecb89f2eea83c1e4ede, msgType : 19
[DEBUG] [2021-01-28 19:05:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8912eee84b3447f0806c048e696f43a7, msgType : 19
[DEBUG] [2021-01-28 19:05:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1b0f3180c0f14108a46185779735670e, msgType : 19
[DEBUG] [2021-01-28 19:05:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9e1e9d2e868543cd9ffd2a0007dae006, msgType : 19
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ac979b51bc8b4095aed4c4da73b63488, msgType : 19
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c4bc22121ee34557ae3fce9844483cfc, msgType : 19
[INFO] [2021-01-28 19:05:59] ReceiptClient.loadReceiptAddr(74) |  load Receipt address from contract.properties, address is 0xe90a204c4f00dfda9ef1229055e036081401cc98
[DEBUG] [2021-01-28 19:05:59] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.4.0, supportedVersion:2.4.0
[DEBUG] [2021-01-28 19:05:59] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87230b85cba74dfa90e370e94d53e8c7, msgType : 18
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 113, groupId: 1
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 113, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 113, groupId: 1
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 113, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87230b85cba74dfa90e370e94d53e8c7, msgType : 4096
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 113, groupId: 1
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 113, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 113, groupId: 1
[DEBUG] [2021-01-28 19:05:59] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 113, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0bc9dd4de91444e4b3173124141b9897, msgType : 19
[DEBUG] [2021-01-28 19:05:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 76d2dfbecd56498b847d6cce93f3a939, msgType : 19
[DEBUG] [2021-01-28 19:06:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 142dd312e9be43ef8fb7da8e8624b4cf, msgType : 19
[DEBUG] [2021-01-28 19:06:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 512225fc6a1447609cac7d3de71e9715, msgType : 19
[DEBUG] [2021-01-28 19:06:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b2ffb07db18c42cfb014999e81b633f1, msgType : 19
[DEBUG] [2021-01-28 19:06:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2e87f6f29a964e65bd2192a6b2e38bfa, msgType : 19
[DEBUG] [2021-01-28 19:06:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dbadd2098f174f06852388a2a8a55689, msgType : 19
[DEBUG] [2021-01-28 19:06:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 128ea5f1fd5d474abf4f99595f518de4, msgType : 19
[DEBUG] [2021-01-28 19:06:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fbdc3138477f456bb2d8b57196ecffad, msgType : 19
[DEBUG] [2021-01-28 19:06:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3285d71fe1b64b8db043f859006e0307, msgType : 19
[DEBUG] [2021-01-28 19:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5410513ea7a74f8d87355525c96967e9, msgType : 19
[DEBUG] [2021-01-28 19:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b9f4f1685ac44a1ca50dc5c30ec0e5c5, msgType : 19
[DEBUG] [2021-01-28 19:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b7bac024ecda4fc88095496158ff7013, msgType : 19
[DEBUG] [2021-01-28 19:06:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eabf600ce3054bf089d7fa3c63804c9b, msgType : 19
[DEBUG] [2021-01-28 19:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 674b4dadb22b48858fb08619f8e02c6c, msgType : 19
[DEBUG] [2021-01-28 19:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 16c5a31e5f14432b90a46dbae96f5842, msgType : 19
[DEBUG] [2021-01-28 19:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 146edf9a1ead4b76b715db31fca090a4, msgType : 19
[DEBUG] [2021-01-28 19:06:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 503930a8253d4817889082c8b8a6875c, msgType : 19
[DEBUG] [2021-01-28 19:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c983f36dd9024ec2b410307b569eb112, msgType : 19
[DEBUG] [2021-01-28 19:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c47d7bf6f7bd4d6da82b4380e94648a8, msgType : 19
[DEBUG] [2021-01-28 19:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3d722aa0f03447d7a55ebf6d3ab8b124, msgType : 19
[DEBUG] [2021-01-28 19:06:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f5c9f509de8147a1921d37d1a9ce8709, msgType : 19
[DEBUG] [2021-01-28 19:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 20e564a8e923465d9395fba4e08af51e, msgType : 19
[DEBUG] [2021-01-28 19:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 905fde9e8c0a4106ac3572dc13c5837f, msgType : 19
[DEBUG] [2021-01-28 19:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7252adf5f7664a03bcd2ec32ca2cd1c1, msgType : 18
[DEBUG] [2021-01-28 19:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b8c7cac515542eabc9f637d8044f784, msgType : 18
[DEBUG] [2021-01-28 19:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5579002546a545db867fa533223ac75e, msgType : 19
[DEBUG] [2021-01-28 19:06:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0e9cda1daf4341ee9aa947445b6b1cc2, msgType : 19
[DEBUG] [2021-01-28 19:06:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e54005e3433b4a98a85ccbd994232332, msgType : 18
[DEBUG] [2021-01-28 19:06:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8ddd825e1f9f4f87abf625e0e224154f, msgType : 18
[DEBUG] [2021-01-28 19:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 72343af6338f45bda14f3c28a1ee396a, msgType : 19
[DEBUG] [2021-01-28 19:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a3ce88614d09463eac929715fea63631, msgType : 19
[DEBUG] [2021-01-28 19:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 79510dfbe3044f55b3cabcd08af00cee, msgType : 19
[DEBUG] [2021-01-28 19:06:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9dbc283ea1e14c02ab79679650940668, msgType : 19
[DEBUG] [2021-01-28 19:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4b9ec2198aa14eafb161127895b68a3e, msgType : 19
[DEBUG] [2021-01-28 19:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 62fd071968f1468caf63dba70be71af6, msgType : 19
[DEBUG] [2021-01-28 19:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8d958a844d1c422787e2f018f2c10495, msgType : 19
[DEBUG] [2021-01-28 19:06:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 105e07ed7af6489e8996e83b5d6c0273, msgType : 19
[DEBUG] [2021-01-28 19:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ab4b061ff2c24e1189db69403400eebc, msgType : 19
[DEBUG] [2021-01-28 19:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cf2eaaab4c904999843b878576a41bb4, msgType : 19
[DEBUG] [2021-01-28 19:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ed1b6d27d7fe4a0b9ddc2f5e4934d6ad, msgType : 19
[DEBUG] [2021-01-28 19:06:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4f46fb037a5948799b8488c48d348e6c, msgType : 19
[DEBUG] [2021-01-28 19:06:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : de466003a6ac4761ad7cc7b8a4530c4f, msgType : 19
[DEBUG] [2021-01-28 19:06:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 384beeb5efb94eeda1ff4e5796f87f3b, msgType : 19
[DEBUG] [2021-01-28 19:06:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 47341b5e089f4d2cb9fe2192b8727e87, msgType : 19
[DEBUG] [2021-01-28 19:06:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6152c5944b6246f490143a46eb3169a6, msgType : 19
[DEBUG] [2021-01-28 19:06:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8dc9b210b91e4cf3a682017a5b03a601, msgType : 19
[DEBUG] [2021-01-28 19:06:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9180b86662174452a85f9b60fc01f3d1, msgType : 19
[DEBUG] [2021-01-28 19:06:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3e6cc49486784b2aa0244c15852e5b3c, msgType : 19
[DEBUG] [2021-01-28 19:06:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ac28ff25bcef4a61876832a916a3fb1d, msgType : 19
[DEBUG] [2021-01-28 19:06:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 220cdbb2dcb8411c90c03ebcccf61ce6, msgType : 19
[DEBUG] [2021-01-28 19:06:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f94a35ac76164abba4bde7b048d714b4, msgType : 19
