[DEBUG] [2021-01-28 11:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b437fe37b1ef4ff186bd1f36dafd2425, msgType : 19
[DEBUG] [2021-01-28 11:03:21] ChannelImp.start(92) | Start the channel success
[INFO] [2021-01-28 11:03:21] BcosSDK.<init>(64) | create BcosSDK, start channel success, cryptoType: 0
[DEBUG] [2021-01-28 11:03:21] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: channelProcessor, corePoolSize: 16, maxBlockingQueueSize: 102400
[INFO] [2021-01-28 11:03:21] BcosSDK.<init>(74) | create BcosSDK, start channel succ, channelProcessorThreadSize: 16, receiptProcessorThreadSize: 16
[DEBUG] [2021-01-28 11:03:21] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: GroupManagerServiceImpl, corePoolSize: 16, maxBlockingQueueSize: 102400
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ccdfcab2dfdc46dcbb74228aabd2de55, msgType : 19
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1fd1f0b664fd4df1b8347aba15762bed, msgType : 19
[INFO] [2021-01-28 11:03:21] GroupManagerServiceImpl.registerBlockNumberNotifyHandler(259) | registerBlockNumberNotifyHandler
[INFO] [2021-01-28 11:03:21] GroupManagerServiceImpl.registerTransactionNotifyHandler(281) | registerTransactionNotifyHandler
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 896a60ca244f4a14b2c2b577ab8a84b4, msgType : 18
[DEBUG] [2021-01-28 11:03:21] GroupServiceImpl.<init>(45) | insert group: 1 for peer 127.0.0.1:20200
[DEBUG] [2021-01-28 11:03:21] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[127.0.0.1:20200]
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cb59d363e8b74bab81acb9868d30b479, msgType : 18
[DEBUG] [2021-01-28 11:03:21] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 34, groupId: 1
[DEBUG] [2021-01-28 11:03:21] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 34, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-28 11:03:21] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20200, blockNumber: 34
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8ea4fc4cd0d14da396dc165642bf4faf, msgType : 18
[DEBUG] [2021-01-28 11:03:21] GroupServiceImpl.insertNode(84) | g:1, insertNode=127.0.0.1:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2acafa191d2a405b87fe7454a5e19af5, msgType : 18
[DEBUG] [2021-01-28 11:03:21] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 34, groupId: 1
[DEBUG] [2021-01-28 11:03:21] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 34, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-28 11:03:21] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20201, blockNumber: 34
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 98598e66978f4571907d55de734a6d06, msgType : 18
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : edd097f57219421dbd970ed92347c182, msgType : 18
[DEBUG] [2021-01-28 11:03:21] GroupManagerServiceImpl.start(445) | start GroupManagerService...
[INFO] [2021-01-28 11:03:21] BcosSDK.<init>(85) | create BcosSDK, create groupManagerService success
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 015de0b9aa434c75997207342813ee34, msgType : 18
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 90ac3c62983247f78bc5234ea0a2b489, msgType : 18
[DEBUG] [2021-01-28 11:03:21] GroupManagerServiceImpl.setAmop(806) | register blockNotify for 127.0.0.1:20200, groupList: [1]
[DEBUG] [2021-01-28 11:03:21] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-01-28 11:03:21] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-01-28 11:03:21] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-01-28 11:03:21] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-01-28 11:03:21] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:[]
[DEBUG] [2021-01-28 11:03:21] GroupManagerServiceImpl.setAmop(806) | register blockNotify for 127.0.0.1:20201, groupList: [1]
[DEBUG] [2021-01-28 11:03:21] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-01-28 11:03:21] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2021-01-28 11:03:21] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-01-28 11:03:21] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-01-28 11:03:21] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2021-01-28 11:03:21] AmopImp.start(188) | amop module started
[INFO] [2021-01-28 11:03:21] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-01-28 11:03:21] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-01-28 11:03:21] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2021-01-28 11:03:21] BcosSDK.<init>(90) | create BcosSDK, create Amop success
[DEBUG] [2021-01-28 11:03:21] AbstractAutowireCapableBeanFactory.doCreateBean(537) | Eagerly caching bean 'bcosSDK' to allow for resolving potential circular references
[DEBUG] [2021-01-28 11:03:21] AbstractAutowireCapableBeanFactory.createBean(483) | Finished creating instance of bean 'bcosSDK'
[DEBUG] [2021-01-28 11:03:21] AbstractApplicationContext.initLifecycleProcessor(785) | Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@50378a4]
[DEBUG] [2021-01-28 11:03:21] AbstractBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'lifecycleProcessor'
[DEBUG] [2021-01-28 11:03:21] PropertySourcesPropertyResolver.getProperty(92) | Could not find key 'spring.liveBeansView.mbeanDomain' in any property source
[DEBUG] [2021-01-28 11:03:21] AbstractBeanFactory.doGetBean(251) | Returning cached instance of singleton bean 'bcosSDK'
[DEBUG] [2021-01-28 11:03:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 22c4562e48854f0b9e092f5d68221eeb, msgType : 18
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d4553797a91041cc8898422c9d879ce4, msgType : 18
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f67400388fc948f1a268f86da5f9b60e, msgType : 18
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8078d56227e94dd1bf20934d66633f7f, msgType : 18
[INFO] [2021-01-28 11:03:22] CryptoSuite.<init>(52) | init CryptoSuite, cryptoType: 0
[INFO] [2021-01-28 11:03:22] Client.build(111) | build client success for group 1
[INFO] [2021-01-28 11:03:22] BcosSDK.getClient(149) | create client for group 1 success
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 733b8aa558f547618cc8a8106065b5fb, msgType : 18
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 97e86be9801148abb0bebf2942fe34be, msgType : 18
[DEBUG] [2021-01-28 11:03:22] AssetClient.initialize(39) | create client for group1, account address is 0x8943baedc476b06ecc64cae70a1a6e0be6e16472
[DEBUG] [2021-01-28 11:03:22] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.4.0, supportedVersion:2.4.0
[DEBUG] [2021-01-28 11:03:22] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 11:03:22] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.4.0, supportedVersion:2.4.0
[DEBUG] [2021-01-28 11:03:22] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1bae08b256494afc8b8bc5860e792f3b, msgType : 18
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1bae08b256494afc8b8bc5860e792f3b, msgType : 4096
[DEBUG] [2021-01-28 11:03:22] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:22] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 35, groupId: 1
[DEBUG] [2021-01-28 11:03:22] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 35, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-28 11:03:22] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 35, groupId: 1
[DEBUG] [2021-01-28 11:03:22] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 35, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-28 11:03:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5b2f8bdd54f4613b9db386af9bc39ca, msgType : 19
[DEBUG] [2021-01-28 11:03:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a10679f4574c4bb1a944a34289d2ce7b, msgType : 19
[DEBUG] [2021-01-28 11:03:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cadb4e1787f844c99fd9573285219d40, msgType : 19
[DEBUG] [2021-01-28 11:03:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1aa68410f21f40308b3ea9be2d814829, msgType : 19
[INFO] [2021-01-28 11:03:26] AssetClient.loadAssetAddr(75) |  load Asset address from contract.properties, address is 0x7bb1bffdc4c6fb1fdccd4506b423178136ca33e9
[DEBUG] [2021-01-28 11:03:26] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.4.0, supportedVersion:2.4.0
[DEBUG] [2021-01-28 11:03:26] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 664991eae27149c0b853458a69603b02, msgType : 18
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 664991eae27149c0b853458a69603b02, msgType : 4096
[DEBUG] [2021-01-28 11:03:26] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 36, groupId: 1
[DEBUG] [2021-01-28 11:03:26] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 36, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 11:03:26] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:26] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 36, groupId: 1
[DEBUG] [2021-01-28 11:03:26] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 36, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2021-01-28 11:03:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f5b86f87c6ec463c85e679f842afeb68, msgType : 19
[DEBUG] [2021-01-28 11:03:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 724179f12f844c95bd3a7de903e11745, msgType : 19
[DEBUG] [2021-01-28 11:03:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 59c86fed8417430389905029c6b7b542, msgType : 19
[DEBUG] [2021-01-28 11:03:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 54fc979d79bc47de9cd307b9ad8b5e66, msgType : 19
[DEBUG] [2021-01-28 11:03:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 41f5b9bfa73d4f759d2b3e0e83b7635e, msgType : 19
[DEBUG] [2021-01-28 11:03:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a57b0ee10b874b1d9a4fe60282e13eb1, msgType : 19
[DEBUG] [2021-01-28 11:03:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fa77464e7bcc46cc9d28dab0edff9091, msgType : 19
[DEBUG] [2021-01-28 11:03:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2fdc6d4e6e9d44229a830155ef2393f8, msgType : 19
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a6cf27da88fb45dc9f13253a05adbe67, msgType : 19
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ea8a64dee4e84276a3412a13f039d120, msgType : 19
[INFO] [2021-01-28 11:03:35] AssetClient.loadAssetAddr(75) |  load Asset address from contract.properties, address is 0x7bb1bffdc4c6fb1fdccd4506b423178136ca33e9
[DEBUG] [2021-01-28 11:03:35] TransactionProcessorFactory.getChainIdAndGroupId(34) | getNodeVersion before createTransactionManager, binaryVerison: 2.4.0, supportedVersion:2.4.0
[DEBUG] [2021-01-28 11:03:35] TransactionProcessorFactory.getChainIdAndGroupId(48) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d509102bca574e6e910d6716ba93ecd4, msgType : 18
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d509102bca574e6e910d6716ba93ecd4, msgType : 4096
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:35] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 37, groupId: 1
[DEBUG] [2021-01-28 11:03:35] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 37, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:35] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-01-28 11:03:35] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 37, groupId: 1
[DEBUG] [2021-01-28 11:03:35] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 37, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-01-28 11:03:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5079ef51f7334f7d9337f70953defdf5, msgType : 19
[DEBUG] [2021-01-28 11:03:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 09c9b3213e9e4068a3f4ec6bf1bfc2d1, msgType : 19
[DEBUG] [2021-01-28 11:03:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3a04d8fdd1ee454f9ab8c5e3bb46805d, msgType : 19
[DEBUG] [2021-01-28 11:03:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 48a60891283b4cbbac42785ef6506b33, msgType : 19
[DEBUG] [2021-01-28 11:03:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 81fc4a406c184aa0ac186ba6dd981eba, msgType : 19
[DEBUG] [2021-01-28 11:03:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7b4dc32327fb47d9a7755b177f841ffc, msgType : 19
[DEBUG] [2021-01-28 11:03:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e077dc4208fe4c1894540120d441ed30, msgType : 19
[DEBUG] [2021-01-28 11:03:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d35a469813e64b3b8c1f710f55b6a6a2, msgType : 19
[DEBUG] [2021-01-28 11:03:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 17037517dfa04009a6abe013ec2470de, msgType : 19
[DEBUG] [2021-01-28 11:03:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a90a6af59cdb4ed29f3d084cfae44718, msgType : 19
[DEBUG] [2021-01-28 11:03:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 35b82af915374a0a9c19009259a9eb36, msgType : 19
[DEBUG] [2021-01-28 11:03:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 55ac7569d2c541739599f0be040efeb2, msgType : 19
[DEBUG] [2021-01-28 11:03:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7a8a9ffd118c49c0a8c189828c7ac2c6, msgType : 19
[DEBUG] [2021-01-28 11:03:49] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 32a337a55de84227b8d54432b5dd373b, msgType : 19
[DEBUG] [2021-01-28 11:03:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c12871575f2248bc9160c651eed20921, msgType : 19
[DEBUG] [2021-01-28 11:03:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a7301664b1d44cef9d95d87dee8f5e57, msgType : 19
[DEBUG] [2021-01-28 11:03:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f15262fb7714440d9957bc40692409ee, msgType : 19
[DEBUG] [2021-01-28 11:03:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a3a28d56f786494e8e7d58acf65c59aa, msgType : 19
[DEBUG] [2021-01-28 11:03:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7c074c5a540743cebc7fc61bb6c506f9, msgType : 19
[DEBUG] [2021-01-28 11:03:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8939e3718b0244319c3bf0d8ce645c7c, msgType : 19
[DEBUG] [2021-01-28 11:03:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2e137280de5d4d7db7d423a873488ff5, msgType : 19
[DEBUG] [2021-01-28 11:03:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8e3659eb340d4676956e27da9fcecbec, msgType : 19
[DEBUG] [2021-01-28 11:03:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ce013bb4c9e5420ba0b69ca3aa1b56e8, msgType : 19
[DEBUG] [2021-01-28 11:03:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ef9af49a363e4d0fa718a60b9d0ed519, msgType : 19
[DEBUG] [2021-01-28 11:04:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e2cda13f9a294ccdbf8071c69efc90ce, msgType : 19
[DEBUG] [2021-01-28 11:04:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 37f4b6286db04ad09503801291bf83c9, msgType : 19
[DEBUG] [2021-01-28 11:04:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 66c7b13044fb41d5bf5dc4ad45e77703, msgType : 19
[DEBUG] [2021-01-28 11:04:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1a79020abd0741e0ad272d7f6f13f846, msgType : 19
[DEBUG] [2021-01-28 11:04:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0b6264bc1b09431395abf72e0de06613, msgType : 19
[DEBUG] [2021-01-28 11:04:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fcc9c068a38a40dfb705f0f2dafe13c7, msgType : 19
[DEBUG] [2021-01-28 11:04:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ccb305871a194fb3a6eb5203d444a07f, msgType : 19
[DEBUG] [2021-01-28 11:04:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 90225dd393cc4ae68cfd643c1d2d14e2, msgType : 19
[DEBUG] [2021-01-28 11:04:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ac2db2028d4648b6a507c2f5761b678d, msgType : 19
[DEBUG] [2021-01-28 11:04:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 448eb17707974abdb06dce4662a04cf3, msgType : 19
[DEBUG] [2021-01-28 11:04:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 27119f8a19304bc4b076e0dec0385d20, msgType : 19
[DEBUG] [2021-01-28 11:04:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9076458ff1614d268b1847e61ee0577a, msgType : 19
[DEBUG] [2021-01-28 11:04:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 13bc3598b75b4ee4bdf9a592f9ff8b51, msgType : 19
[DEBUG] [2021-01-28 11:04:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f10e135f940440c4bb1ff5fea9e8bd44, msgType : 19
